Brand Name,Model,Type,Feature,Supported Releases
"Adaptec","Adaptec SmartRAID 3101-4i","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Adaptec","Adaptec SmartHBA 2100-8i8e","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Adaptec","Adaptec SmartRAID 3254-8i","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Adaptec","Adaptec SmartRAID 3284-16io /e/uC","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Adaptec","Adaptec SmartRAID 3154-8i8e","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Adaptec","Adaptec SmartRAID 3252-8i /e","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Adaptec","Adaptec HBA 1200-16e","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Adaptec","Adaptec SmartRAID 3254-8i /e","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Adaptec","Adaptec HBA 1100-24i","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Adaptec","Adaptec SmartRAID 3154-16i","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Adaptec","Adaptec SmartRAID 3254-16i /e","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Adaptec","Adaptec SmartHBA 2100-4i4e","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Adaptec","Adaptec SmartRAID 3101E-4i","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Adaptec","Adaptec HBA 1100-16i","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Adaptec","Adaptec SmartRAID 3154-8e","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Adaptec","Adaptec SmartRAID Ultra 3258p-32i /e","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Adaptec","Adaptec SmartRAID 3204-8i","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Adaptec","Adaptec SmartHBA 2100-16i","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Adaptec","Adaptec SmartHBA 2100-24i","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Adaptec","Adaptec SmartRAID 3252-8i","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Adaptec","Adaptec SmartRAID 3254-16e /e","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Adaptec","Adaptec SmartRAID Ultra 3258P-16i","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Adaptec","Adaptec SmartRAID 3204-8i /e","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Adaptec","Adaptec SmartRAID 3154-8i","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Adaptec","Adaptec SmartRAID Ultra 3258p-16i /e","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
