"Cluster","HostName","Category","Detected","HCL_Match","Match_Score(%)","ESXi_9.0","ESXi_9.1","Note"
"WD-HCS-cl01","wd-esxi03.vcf.local","Storage_Controller","vmhba0 / PERC H755 Front","Dell PERC H755 Front PERC","86","OK","OK","ESXi 지원 버전: ESXi 9.0  |  vSAN 후보: Dell HBA355i Front (유사도 20%, Hybrid/All Flash / Pass-Through
vSAN Secure-wipe capable, 9.0:MISMATCH/9.1:MISMATCH)"
"WD-HCS-cl01","wd-esxi03.vcf.local","Storage_Controller","vmhba1 / Lewisburg SATA AHCI Controller","Intel Corporation Lewisburg SATA AHCI Controller","67","OK","OK","ESXi 지원 버전: ESXi 9.0  |  vSAN 후보: Cisco Cisco 12G Modular SAS Pass through Controller (유사도 10%, Hybrid/All Flash / Pass-Through, 9.0:MISMATCH/9.1:MISMATCH)"
"WD-HCS-cl01","wd-esxi03.vcf.local","Storage_Controller","vmhba2 / Lewisburg SATA AHCI Controller","Intel Corporation Lewisburg SATA AHCI Controller","67","OK","OK","ESXi 지원 버전: ESXi 9.0  |  vSAN 후보: Cisco Cisco 12G Modular SAS Pass through Controller (유사도 10%, Hybrid/All Flash / Pass-Through, 9.0:MISMATCH/9.1:MISMATCH)"
"WD-HCS-cl01","wd-esxi01.vcf.local","Storage_Controller","vmhba0 / PERC H755 Front","Dell PERC H755 Front PERC","86","OK","OK","ESXi 지원 버전: ESXi 9.0  |  vSAN 후보: Dell HBA355i Front (유사도 20%, Hybrid/All Flash / Pass-Through
vSAN Secure-wipe capable, 9.0:MISMATCH/9.1:MISMATCH)"
"WD-HCS-cl01","wd-esxi01.vcf.local","Storage_Controller","vmhba1 / Lewisburg SATA AHCI Controller","Intel Corporation Lewisburg SATA AHCI Controller","67","OK","OK","ESXi 지원 버전: ESXi 9.0  |  vSAN 후보: Cisco Cisco 12G Modular SAS Pass through Controller (유사도 10%, Hybrid/All Flash / Pass-Through, 9.0:MISMATCH/9.1:MISMATCH)"
"WD-HCS-cl01","wd-esxi01.vcf.local","Storage_Controller","vmhba2 / Lewisburg SATA AHCI Controller","Intel Corporation Lewisburg SATA AHCI Controller","67","OK","OK","ESXi 지원 버전: ESXi 9.0  |  vSAN 후보: Cisco Cisco 12G Modular SAS Pass through Controller (유사도 10%, Hybrid/All Flash / Pass-Through, 9.0:MISMATCH/9.1:MISMATCH)"
"WD-HCS-cl01","wd-esxi04.vcf.local","Storage_Controller","vmhba0 / PERC H755 Front","Dell PERC H755 Front PERC","86","OK","OK","ESXi 지원 버전: ESXi 9.0  |  vSAN 후보: Dell HBA355i Front (유사도 20%, Hybrid/All Flash / Pass-Through
vSAN Secure-wipe capable, 9.0:MISMATCH/9.1:MISMATCH)"
"WD-HCS-cl01","wd-esxi04.vcf.local","Storage_Controller","vmhba1 / Lewisburg SATA AHCI Controller","Intel Corporation Lewisburg SATA AHCI Controller","67","OK","OK","ESXi 지원 버전: ESXi 9.0  |  vSAN 후보: Cisco Cisco 12G Modular SAS Pass through Controller (유사도 10%, Hybrid/All Flash / Pass-Through, 9.0:MISMATCH/9.1:MISMATCH)"
"WD-HCS-cl01","wd-esxi04.vcf.local","Storage_Controller","vmhba2 / Lewisburg SATA AHCI Controller","Intel Corporation Lewisburg SATA AHCI Controller","67","OK","OK","ESXi 지원 버전: ESXi 9.0  |  vSAN 후보: Cisco Cisco 12G Modular SAS Pass through Controller (유사도 10%, Hybrid/All Flash / Pass-Through, 9.0:MISMATCH/9.1:MISMATCH)"
"WD-HCS-cl01","wd-esxi02.vcf.local","Storage_Controller","vmhba0 / PERC H755 Front","Dell PERC H755 Front PERC","86","OK","OK","ESXi 지원 버전: ESXi 9.0  |  vSAN 후보: Dell HBA355i Front (유사도 20%, Hybrid/All Flash / Pass-Through
vSAN Secure-wipe capable, 9.0:MISMATCH/9.1:MISMATCH)"
"WD-HCS-cl01","wd-esxi02.vcf.local","Storage_Controller","vmhba1 / Lewisburg SATA AHCI Controller","Intel Corporation Lewisburg SATA AHCI Controller","67","OK","OK","ESXi 지원 버전: ESXi 9.0  |  vSAN 후보: Cisco Cisco 12G Modular SAS Pass through Controller (유사도 10%, Hybrid/All Flash / Pass-Through, 9.0:MISMATCH/9.1:MISMATCH)"
"WD-HCS-cl01","wd-esxi02.vcf.local","Storage_Controller","vmhba2 / Lewisburg SATA AHCI Controller","Intel Corporation Lewisburg SATA AHCI Controller","67","OK","OK","ESXi 지원 버전: ESXi 9.0  |  vSAN 후보: Cisco Cisco 12G Modular SAS Pass through Controller (유사도 10%, Hybrid/All Flash / Pass-Through, 9.0:MISMATCH/9.1:MISMATCH)"
