"Cluster","HostName","Category","Detected","HCL_Match","Match_Score(%)","ESXi_9.0","ESXi_9.1","Note"
"WD-HCS-cl01","wd-esxi03.vcf.local","NIC","vmnic0 / Broadcom Corporation NetXtreme BCM5720 Gigabit Ethernet","Broadcom NetXtreme BCM5720 Gigabit Ethernet","100","OK","OK","지원 버전: ESXi 9.0"
"WD-HCS-cl01","wd-esxi03.vcf.local","NIC","vmnic1 / Broadcom Corporation NetXtreme BCM5720 Gigabit Ethernet","Broadcom NetXtreme BCM5720 Gigabit Ethernet","100","OK","OK","지원 버전: ESXi 9.0"
"WD-HCS-cl01","wd-esxi03.vcf.local","NIC","vmnic2 / Broadcom NetXtreme E-Series Advanced Dual-port 25Gb SFP28 Ethernet OCP 3.0 Adapter","Broadcom NetXtreme E-Series Quad-port 25Gb SFP28 OCP 3.0 Ethernet Adapter","93","OK","OK","지원 버전: ESXi 9.0"
"WD-HCS-cl01","wd-esxi03.vcf.local","NIC","vmnic3 / Broadcom NetXtreme E-Series Advanced Dual-port 25Gb SFP28 Ethernet OCP 3.0 Adapter","Broadcom NetXtreme E-Series Quad-port 25Gb SFP28 OCP 3.0 Ethernet Adapter","93","OK","OK","지원 버전: ESXi 9.0"
"WD-HCS-cl01","wd-esxi03.vcf.local","NIC","vmnic4 / Broadcom BCM57414 NetXtreme-E 10Gb/25Gb RDMA Ethernet Controller","Broadcom BCM57414","100","OK","OK","지원 버전: ESXi 9.0"
"WD-HCS-cl01","wd-esxi03.vcf.local","NIC","vmnic5 / Broadcom BCM57414 NetXtreme-E 10Gb/25Gb RDMA Ethernet Controller","Broadcom BCM57414","100","OK","OK","지원 버전: ESXi 9.0"
"WD-HCS-cl01","wd-esxi03.vcf.local","NIC","vmnic6 / Broadcom BCM57414 NetXtreme-E 10Gb/25Gb RDMA Ethernet Controller","Broadcom BCM57414","100","OK","OK","지원 버전: ESXi 9.0"
"WD-HCS-cl01","wd-esxi03.vcf.local","NIC","vmnic7 / Broadcom BCM57414 NetXtreme-E 10Gb/25Gb RDMA Ethernet Controller","Broadcom BCM57414","100","OK","OK","지원 버전: ESXi 9.0"
"WD-HCS-cl01","wd-esxi01.vcf.local","NIC","vmnic0 / Broadcom Corporation NetXtreme BCM5720 Gigabit Ethernet","Broadcom NetXtreme BCM5720 Gigabit Ethernet","100","OK","OK","지원 버전: ESXi 9.0"
"WD-HCS-cl01","wd-esxi01.vcf.local","NIC","vmnic1 / Broadcom Corporation NetXtreme BCM5720 Gigabit Ethernet","Broadcom NetXtreme BCM5720 Gigabit Ethernet","100","OK","OK","지원 버전: ESXi 9.0"
