Brand Name,Model,Device Type,Supported Releases,_
"Adaptec","SmartRAID P7608-16e","SAS/SATA-RAID","ESXi 9.1"," "
"Adaptec","SmartHBA P6600-8i","SAS/SATA-RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3200p Ultra","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID Ultra 3258p-16i /e","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3154-8i8e","SAS-RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3284-16io /e/uC","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID Ultra 3258p-32i /e","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","Adaptec HBA 1100-8i","SAS","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3204-8i /e","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","Adaptec HBA 1100-8i8e","SAS","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3200","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","Adaptec HBA 1100-16e","SAS","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3254-8i /e","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","Adaptec HBA 1200-16e","SAS-SATA-NVME Tri-mode","ESXi 9.1"," "
"Adaptec","Adaptec SmartHBA 2100-16i","SAS-RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartHBA 2100-8e","SAS-RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3258-16i /e","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartHBA 2200-8io /e","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","Adaptec HBA 1100","SAS","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3252-8i /e","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","Adaptec HBA 1200","SAS-SATA-NVME Tri-mode","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3254-16io /e","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","Adaptec HBA 1100-8e","SAS","ESXi 9.1"," "
"Adaptec","Adaptec SmartHBA 2100-4i4e","SAS-RAID","ESXi 9.1"," "
"Adaptec","Adaptec HBA Ultra 1200P-16i","SAS-SATA-NVME Tri-mode","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3154-24i","SAS","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3252-8i","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartIOC PM8275","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","Adaptec HBA 1200p Ultra","SAS-SATA-NVME Tri-mode","ESXi 9.1"," "
"Adaptec","Adaptec HBA 1100-4i","SAS","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3151-4i","SAS-RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartHBA 2100-8i8e","SAS-RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3258-16i","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartHBA 2200-16i","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3162-8i /e /d","SAS-RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartHBA 2100-24i","SAS","ESXi 9.1"," "
"Adaptec","Adaptec HBA 1200-16i","SAS-SATA-NVME Tri-mode","ESXi 9.1"," "
"Adaptec","Adaptec HBA 1200-8e","SAS-SATA-NVME Tri-mode","ESXi 9.1"," "
"Adaptec","Adaptec SmartHBA 2200-16io /e","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","Adaptec HBA Ultra 1200p-32i","SAS-SATA-NVME Tri-mode","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3102-8i","SAS-RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID Ultra 3254-16e","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","SmartHBA P6600-8i8e","SAS/SATA-RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartHBA 2100-4i","SAS-RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartHBA 2200","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3154-8e","SAS-RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3200 Ultra","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartIOC PM8271","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3101E-4i","SAS-RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartHBA 2200p Ultra","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3254-16i /e","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3154-8i","SAS-RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartHBA 2100A-8i","SAS-RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3204-8i","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3254-16i","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3152-8i","SAS-RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID Ultra 3254-16e /e","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartHBA 2100-8i","SAS-RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3154-16i","SAS-RAID","ESXi 9.1"," "
"Adaptec","Adaptec HBA Ultra 1200-16e","SAS-SATA-NVME Tri-mode","ESXi 9.1"," "
"Adaptec","SmartHBA P6600-16e","SAS/SATA-RAID","ESXi 9.1"," "
"Adaptec","Adaptec HBA 1200-8i","SAS-SATA-NVME Tri-mode","ESXi 9.1"," "
"Adaptec","Adaptec HBA 1200 Ultra","SAS-SATA-NVME Tri-mode","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3154-8i16e","SAS-RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3254-8i","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
