"VMName","ResourceId","DiskInstance","ReadIOPS_Avg","ReadIOPS_Peak","ReadThroughput_KBps_Avg","ReadThroughput_KBps_Peak","WriteThroughput_KBps_Avg","WriteThroughput_KBps_Peak","WriteLatency_ms_Avg","WriteLatency_ms_Peak","ReadLatency_ms_Avg","ReadLatency_ms_Peak","TotalIOPS_Avg","TotalIOPS_Peak","TotalLatency_ms_Avg","TotalLatency_ms_Peak","WriteIOPS_Avg","WriteIOPS_Peak"
"broadcom-jumphost","673ffff6-b5ff-473f-a818-fbcfa2e87a62","Aggregate of all instances","0.01","30.27",,,,,"0.48","62.2","0","9.07","0.27","175.53",,,"0.26","145.27"
"broadcom-jumphost","673ffff6-b5ff-473f-a818-fbcfa2e87a62","scsi0:0","0.01","30.27","0.1","397.47","6.75","4250.93","0.49","62.2","0.01","9.07",,,,,"0.26","145.27"
"depot","1dbdad8a-14a4-483e-97f9-2e7c0a009d7e","Aggregate of all instances","0","7.67",,,,,"0.03","6.4","0","0.2","0.06","100.07",,,"0.06","92.4"
"depot","7669e4c3-b233-4320-884e-a3e818a5e419","Aggregate of all instances","0.13","59.47",,,,,"0.47","67.2","0.02","13.4","0.4","66.27",,,"0.27","32.67"
"depot","7669e4c3-b233-4320-884e-a3e818a5e419","scsi0:0","0.13","59.47","83.62","90266.8","484.81","120384.73","0.49","67.2","0.03","13.4",,,,,"0.27","32.67"
"depot","1dbdad8a-14a4-483e-97f9-2e7c0a009d7e","scsi0:0","0","7.67","0.12","495.13","6.17","4621.87","0.04","6.4","0","0.29",,,,,"0.06","92.4"
"fleet","22fbcc6b-b9d4-41c4-876b-5f13d1a0e9cf","Aggregate of all instances","0.19","202.21",,,,,"0.18","1.99","0","0.07","22.48","283.29",,,"22.3","81.07"
"fleet","22fbcc6b-b9d4-41c4-876b-5f13d1a0e9cf","scsi0:0","0.09","87.93","2.69","2576.14","32.59","282.6","0.37","3.13","0","0.07",,,,,"3.54","20.2"
"fleet","22fbcc6b-b9d4-41c4-876b-5f13d1a0e9cf","scsi0:1","0.07","82.5","5.59","6441.93","94.05","483.14","0.14","2.07","0","0.09",,,,,"18.46","63.36"
"fleet","22fbcc6b-b9d4-41c4-876b-5f13d1a0e9cf","scsi0:2","0.02","19.57","0.99","1064.86","6.93","157.73","0.26","2.47","0","0.6",,,,,"0.3","7.87"
"fleet","22fbcc6b-b9d4-41c4-876b-5f13d1a0e9cf","scsi0:3","0.01","12.21","0.09","91.43","0.06","28.87","0","0.6","0","0.07",,,,,"0","0.07"
"hkmg-dns-127.X","124470de-91d2-47c0-b241-b14c0ebed279","Aggregate of all instances","0.01","10.27",,,,,"1.44","10.07",,,"0.18","10.4",,,"0.17","0.67"
"hkmg-dns-127.X","124470de-91d2-47c0-b241-b14c0ebed279","scsi0:0","0.01","10.27","0.06","92.27","3.85","17.53","1.44","10.07",,,,,,,"0.17","0.67"
"hkmg-dns-ntp-128.x","341e8d03-549c-4da7-92e4-daa420f16519","Aggregate of all instances","0.1","58.6",,,,,"0.06","9.27","0","0.53","0.16","100.13",,,"0.06","41.53"
"hkmg-dns-ntp-128.x","341e8d03-549c-4da7-92e4-daa420f16519","scsi0:0","0.1","58.6","3.04","2261.73","10.2","5866.93","0.4","34.07","0","0.8",,,,,"0.06","41.53"
"hkmg-nfs","03ab170e-a7ba-48d9-84c6-f909440c2ec6","Aggregate of all instances","6.26","341.93",,,,,"0.09","4.46","0.5","84.47","150.95","2627.87",,,"144.69","2627.87"
"hkmg-nfs","03ab170e-a7ba-48d9-84c6-f909440c2ec6","scsi0:0","0.19","73.6","10.56","3032.2","16","11619.2","0.13","7.27","0.01","0.73",,,,,"0.16","127.93"
"hkmg-nfs","03ab170e-a7ba-48d9-84c6-f909440c2ec6","scsi0:1","6.07","341.93","2047.57","219286.2","4384.03","229496","0.09","4.13","0.52","84.47",,,,,"144.53","2627.87"
