"VMName","ResourceId","CPU_Pct_Avg","CPU_Pct_Peak","CPU_MHz_Avg","CPU_MHz_Peak","Net_KBps_Avg","Net_KBps_Peak","CPU_ReadyPct_Avg","CPU_ReadyPct_Peak","VD_WriteThroughput_KBps_Avg","VD_WriteThroughput_KBps_Peak","Mem_Swapped_KB_Avg","Mem_Swapped_KB_Peak","VD_ReadThroughput_KBps_Avg","VD_ReadThroughput_KBps_Peak","Disk_KBps_Avg","Disk_KBps_Peak","Mem_Active_KB_Avg","Mem_Active_KB_Peak","Mem_Consumed_KB_Avg","Mem_Consumed_KB_Peak","Mem_Pct_Avg","Mem_Pct_Peak","GuestFS_UsagePct_Avg","GuestFS_UsagePct_Peak","Net_DroppedRx_Total","Net_DroppedTx_Total"
"avi-controller","18f47902-98f5-4884-a71e-2d93d1dfc945",,,,,"0","0",,,,,,,,,,,,,,,,,,,,
"broadcom-jumphost","673ffff6-b5ff-473f-a818-fbcfa2e87a62","1.55","16.81","61.47","670.4","1.13","795.8","0.11","0.35","6.89","4250.93","0","0","0.1","397.47",,,"162013.59","1459616.25","5066405.56","5131857","15.83","16.4","20.45","21.13","0","0"
"depot","1dbdad8a-14a4-483e-97f9-2e7c0a009d7e","0.09","1.25","40.61","561.87","0.53","511.27","0.01","0.03","6.17","4621.87","0","0","0.12","495.13","5","1271.67","338643.22","1901416","33539054.25","33543540","9.77","9.85","30.86","30.89","0","0"
"depot","7669e4c3-b233-4320-884e-a3e818a5e419","1.02","39.69","40.26","1583.73","120610.06","732506.38","0.04","0.14","480.43","120384.73",,,"82.86","90266.8",,,"90634.69","2812977.25","4182675.69","4182888","34.35","36.31","25.06","97.38","971",
"dns_tmp","761ea968-8676-48df-ae90-62355dcd8776",,,,,,,,,,,,,,,,,,,,,,,,,,
"dns01","c284a119-95e9-4284-97c0-31c3e51c0c86","1.01","11.38","80.28","908.27","2.1","2574.6","0.1","0.48","24.78","7984.13","4584.89","4764","1.8","1861.47",,,"416227.66","3881127.5","7635493.82","8333922.5","33.05","46.1","16.59","18.31","1","0"
"epa-ubuntu24","36d617de-d8a0-4ee3-a147-304c6370ff28",,,,,"0","0",,,,,,,,,,,,,,,,,,,,
"fleet","22fbcc6b-b9d4-41c4-876b-5f13d1a0e9cf","9.94","35.53","1113.11","3978.8","0.09","52.4","0.05","0.32","134.49","844.5",,,"9.36","10175.07",,,"2287800.75","2287800.75","12565811.96","12566528","53.05","53.77","39.5","39.5",,"0"
"harbor","ce989072-ffce-4a3d-8a27-592e2099441d","1.55","33.25","123.96","2654.13","11.83","11271.53","0.07","0.83","44.38","31896.8",,,"17.37","22024.33",,,"402512.21","5804914.5","7768708.09","8283621.5","25.8","27.3","35.32","36.95","0",
"hkmg-dns-127.X","124470de-91d2-47c0-b241-b14c0ebed279","1.83","3.27","72.6","130","446.94","3112.53","0.1","0.2","3.85","17.53",,,"0.06","92.27",,,"258588.68","587200","8372111.98","8372140","39.08","40.1","40.6","43.92","56",
