"VMName","DiskLabel","CapacityGB","DiskType","Datastore","ControllerLabel","ControllerType","ControllerBusNum","UnitNumber","IsRDM","RDM_DeviceName","RDM_CompatMode"
"nc-dns","Hard disk 1","90","Thin","WD-HCS-cl01-vsan01","SCSI controller 0","ParaSCSI","0","0","False","",""
"nc-nfs","Hard disk 1","20","Thin","WD-HCS-cl01-vsan01","SCSI controller 0","ParaSCSI","0","0","False","",""
"nc-nfs","Hard disk 2","1024","Thin","WD-HCS-cl01-vsan01","SCSI controller 0","ParaSCSI","0","1","False","",""
"YR-ESXi-7-Temp","Hard disk 1","50","Thin","WD-HCS-cl01-vsan01","SCSI controller 0","ParaSCSI","0","0","False","",""
"vcf9esxi02","Hard disk 1","100","Thin","WD-HCS-cl01-vsan01","SCSI controller 0","ParaSCSI","0","0","False","",""
"vcf9esxi02","Hard disk 2","1024","Thin","WD-HCS-cl01-vsan01","N/A","N/A","N/A","0","False","",""
"vcf9esxi02","Hard disk 3","1024","Thin","WD-HCS-cl01-vsan01","N/A","N/A","N/A","1","False","",""
"vcf9esxi02","Hard disk 4","1024","Thin","WD-HCS-cl01-vsan01","N/A","N/A","N/A","2","False","",""
"vcf9esxi02","Hard disk 5","1024","Thin","WD-HCS-cl01-vsan01","N/A","N/A","N/A","3","False","",""
"vcf9esxi02","Hard disk 6","100","Thin","WD-HCS-cl01-vsan01","N/A","N/A","N/A","4","False","",""
"vcf9esxi03","Hard disk 1","100","Thin","WD-HCS-cl01-vsan01","SCSI controller 0","ParaSCSI","0","0","False","",""
"vcf9esxi03","Hard disk 2","1024","Thin","WD-HCS-cl01-vsan01","N/A","N/A","N/A","0","False","",""
"vcf9esxi03","Hard disk 3","1024","Thin","WD-HCS-cl01-vsan01","N/A","N/A","N/A","1","False","",""
"vcf9esxi03","Hard disk 4","1024","Thin","WD-HCS-cl01-vsan01","N/A","N/A","N/A","2","False","",""
"vcf9esxi03","Hard disk 5","1024","Thin","WD-HCS-cl01-vsan01","N/A","N/A","N/A","3","False","",""
"vcf9esxi03","Hard disk 6","100","Thin","WD-HCS-cl01-vsan01","N/A","N/A","N/A","4","False","",""
"vcf9esxi04","Hard disk 1","100","Thin","WD-HCS-cl01-vsan01","SCSI controller 0","ParaSCSI","0","0","False","",""
"vcf9esxi04","Hard disk 2","1024","Thin","WD-HCS-cl01-vsan01","N/A","N/A","N/A","0","False","",""
"vcf9esxi04","Hard disk 3","1024","Thin","WD-HCS-cl01-vsan01","N/A","N/A","N/A","1","False","",""
"vcf9esxi04","Hard disk 4","1024","Thin","WD-HCS-cl01-vsan01","N/A","N/A","N/A","2","False","",""
