"VMName","CDDriveLabel","ISOPath","Connected","StartConnected"
"nc-nfs","CD/DVD drive 1","[HCS-TrueNAS-iSCSI] ISO-Archive/Linux/Ubuntu/22.04/Server/ubuntu-22.04.2-live-server-amd64.iso","False","True"
"vcf9esxi02","CD/DVD drive 1","[WD-HCS-cl01-vsan01] ce997a69-ca21-fe2c-d7e1-8c8474cc3840/VMware-ESXi-9.1.0-25370933-HPE-910.0.0.12.3.0.32-may2026.iso","True","True"
"vcf9esxi03","CD/DVD drive 1","[WD-HCS-cl01-vsan01] ce997a69-ca21-fe2c-d7e1-8c8474cc3840/VMware-ESXi-9.1.0-25370933-HPE-910.0.0.12.3.0.32-may2026.iso","True","True"
"vcf9esxi04","CD/DVD drive 1","[WD-HCS-cl01-vsan01] ce997a69-ca21-fe2c-d7e1-8c8474cc3840/VMware-ESXi-9.1.0-25370933-HPE-910.0.0.12.3.0.32-may2026.iso","False","False"
"vcf9esxi01","CD/DVD drive 1","[WD-HCS-cl01-vsan01] ce997a69-ca21-fe2c-d7e1-8c8474cc3840/VMware-ESXi-9.1.0-25370933-HPE-910.0.0.12.3.0.32-may2026.iso","True","True"
"kdw-depot","CD/DVD drive 1","[WD-HCS-cl01-vsan01] ce997a69-ca21-fe2c-d7e1-8c8474cc3840/ubuntu-22.04.5-live-server-amd64.iso","True","True"
"dns01","CD/DVD drive 1","[WD-HCS-cl01-vsan01] ce997a69-ca21-fe2c-d7e1-8c8474cc3840/ko-kr_windows_server_2022_updated_dec_2025_x64_dvd_84450f64.iso","True","True"
"yr-depot","CD/DVD drive 1","[HCS-TrueNAS-iSCSI] ISO-Archive/Linux/Ubuntu/22.04/Server/ubuntu-22.04.2-live-server-amd64.iso","False","True"
"HMGDNSNTP","CD/DVD drive 1","[HCS-TrueNAS-iSCSI] ISO-Archive/Windows/Windows Server 2019/ko-kr_windows_server_2019_x64_dvd_84101c0a.iso","True","True"
"harbor","CD/DVD drive 1","[HCS-TrueNAS-iSCSI] ISO-Archive/Linux/Ubuntu/26.04/ubuntu-26.04-live-server-amd64.iso","False","False"
"khj_dns","CD/DVD drive 1","[WD-HCS-cl01-vsan01] ce997a69-ca21-fe2c-d7e1-8c8474cc3840/ko-kr_windows_server_2022_updated_dec_2025_x64_dvd_84450f64.iso","False","True"
"dns_tmp","CD/DVD drive 1","[WD-HCS-cl01-vsan01] ce997a69-ca21-fe2c-d7e1-8c8474cc3840/ko-kr_windows_server_2022_updated_dec_2025_x64_dvd_84450f64.iso","False","True"
"hkmg-dns-127.X","CD/DVD drive 1","[HCS-TrueNAS-iSCSI] ISO-Archive/Linux/Rocky/8/Rocky-8.10-x86_64-dvd1.iso","False","True"
"depot","CD/DVD drive 1","[HCS-TrueNAS-iSCSI] ISO-Archive/Linux/Ubuntu/26.04/ubuntu-26.04-live-server-amd64.iso","False","False"
"hkmg-vvf-test-nfs-esx01-128.X","CD/DVD drive 1","[HCS-TrueNAS-iSCSI] ISO-Archive/VMware/ESXi/8/VMware-VMvisor-Installer-8.0U3g-24859861.x86_64.iso","False","True"
"hkmg-vvf-test-nfs-esx02-128.X","CD/DVD drive 1","[HCS-TrueNAS-iSCSI] ISO-Archive/VMware/ESXi/8/VMware-VMvisor-Installer-8.0U3g-24859861.x86_64.iso","False","True"
"yr-esxi01","CD/DVD drive 1","[HCS-TrueNAS-iSCSI] ISO-Archive/VMware/ESXi/9/VMware-VMvisor-Installer-9.0.2.0.25148076.x86_64.iso","True","True"
"yr-esxi02","CD/DVD drive 1","[HCS-TrueNAS-iSCSI] ISO-Archive/VMware/ESXi/9/VMware-VMvisor-Installer-9.0.2.0.25148076.x86_64.iso","True","True"
"yr-esxi03","CD/DVD drive 1","[HCS-TrueNAS-iSCSI] ISO-Archive/VMware/ESXi/9/VMware-VMvisor-Installer-9.0.2.0.25148076.x86_64.iso","True","True"
