"VMName","AdapterLabel","AdapterType","PortGroup","MacAddress","MacType","Connected","StartConnected"
"nc-dns","Network adapter 1","Vmxnet3","nc-ids-10-100-50","00:50:56:b5:23:2e","assigned","True","True"
"nc-nfs","Network adapter 1","Vmxnet3","nc-ids-10-100-50","00:50:56:b5:1c:5f","assigned","True","True"
"YR-ESXi-7-Temp","Network adapter 1","Vmxnet3","DVPortgroup (dvportgroup-1015)","00:50:56:b5:e5:f7","assigned","False","True"
"vcf9esxi02","Network adapter 1","Vmxnet3","KHJ-PG-Trunk","00:50:56:b5:1e:65","assigned","True","True"
"vcf9esxi02","Network adapter 2","Vmxnet3","KHJ-PG-Trunk","00:50:56:b5:cf:f2","assigned","True","True"
"vcf9esxi02","Network adapter 3","Vmxnet3","KHJ-PG-Trunk","00:50:56:b5:af:6b","assigned","True","True"
"vcf9esxi02","Network adapter 4","Vmxnet3","KHJ-PG-Trunk","00:50:56:b5:be:4c","assigned","True","True"
"vcf9esxi02","Network adapter 5","Vmxnet3","KHJ-PG-Trunk","00:50:56:b5:01:c6","assigned","True","True"
"vcf9esxi03","Network adapter 1","Vmxnet3","KHJ-PG-Trunk","00:50:56:b5:c4:fa","assigned","True","True"
"vcf9esxi03","Network adapter 2","Vmxnet3","KHJ-PG-Trunk","00:50:56:b5:48:7a","assigned","True","True"
"vcf9esxi03","Network adapter 3","Vmxnet3","KHJ-PG-Trunk","00:50:56:b5:c2:d5","assigned","True","True"
"vcf9esxi03","Network adapter 4","Vmxnet3","KHJ-PG-Trunk","00:50:56:b5:8c:f1","assigned","True","True"
"vcf9esxi03","Network adapter 5","Vmxnet3","KHJ-PG-Trunk","00:50:56:b5:74:f7","assigned","True","True"
"vcf9esxi04","Network adapter 1","Vmxnet3","KHJ-PG-Trunk","00:50:56:b5:73:f6","assigned","True","True"
"vcf9esxi04","Network adapter 2","Vmxnet3","KHJ-PG-Trunk","00:50:56:b5:df:f5","assigned","True","True"
"vcf9esxi04","Network adapter 3","Vmxnet3","KHJ-PG-Trunk","00:50:56:b5:93:e1","assigned","True","True"
"vcf9esxi04","Network adapter 4","Vmxnet3","KHJ-PG-Trunk","00:50:56:b5:78:18","assigned","True","True"
"vcf9esxi04","Network adapter 5","Vmxnet3","KHJ-PG-Trunk","00:50:56:b5:33:ff","assigned","True","True"
"vcf9esxi01","Network adapter 1","Vmxnet3","KHJ-PG-Trunk","00:50:56:b5:ef:9e","assigned","True","True"
