"VMName","PowerState","GuestFullName","ESXiHost","Cluster","NumCPU","NumSockets","NumCoresPerSocket","MemoryGB","CpuHotAddEnabled","CpuHotRemoveEnabled","MemHotAddEnabled","vNUMA_Status","NetworkAdapterCount","DiskCount","HasRDM","RDMCount","HasISOMounted","ISOMountedCount","HWVersion","VMToolsStatus","VMToolsVersion"
"nc-dns","poweredOn","Microsoft Windows Server 2025 (64-bit)","wd-esxi03.vcf.local","WD-HCS-cl01","2","1","2","4","False","False","False","Likely Disabled (추정)","1","1","False","0","False","0","vmx-21","toolsOld","13317"
"nc-nfs","poweredOn","Ubuntu Linux (64-bit)","wd-esxi03.vcf.local","WD-HCS-cl01","4","1","4","8","False","False","False","Likely Disabled (추정)","1","2","False","0","True","1","vmx-22","toolsOk","12389"
"YR-ESXi-7-Temp","poweredOff","VMware ESXi 7.x","wd-esxi04.vcf.local","WD-HCS-cl01","24","12","2","64","False","False","False","Likely Enabled (추정)","1","1","False","0","False","0","vmx-17","toolsNotRunning","12325"
"vcf9esxi02","poweredOn","VMware ESXi 9.0 or later","wd-esxi02.vcf.local","WD-HCS-cl01","64","2","32","192","False","False","False","Likely Enabled (추정)","5","6","False","0","True","1","vmx-22","toolsOk","13344"
"vcf9esxi03","poweredOn","VMware ESXi 9.0 or later","wd-esxi03.vcf.local","WD-HCS-cl01","64","2","32","192","False","False","False","Likely Enabled (추정)","5","6","False","0","True","1","vmx-22","toolsOk","13344"
"vcf9esxi04","poweredOn","VMware ESXi 9.0 or later","wd-esxi04.vcf.local","WD-HCS-cl01","64","2","32","192","False","False","False","Likely Enabled (추정)","5","6","False","0","True","1","vmx-22","toolsOk","13344"
"vcf9esxi01","poweredOn","VMware ESXi 9.0 or later","wd-esxi01.vcf.local","WD-HCS-cl01","64","2","32","192","False","False","False","Likely Enabled (추정)","5","6","False","0","True","1","vmx-22","toolsOk","13344"
"kdw-depot","poweredOn","Ubuntu Linux (64-bit)","wd-esxi03.vcf.local","WD-HCS-cl01","8","1","8","8","False","False","False","Likely Disabled (추정)","1","3","False","0","True","1","vmx-22","toolsOk","12389"
"dns01","poweredOn","Microsoft Windows Server 2022 (64-bit)","wd-esxi03.vcf.local","WD-HCS-cl01","4","1","4","8","False","False","False","Likely Disabled (추정)","1","1","False","0","True","1","vmx-22","toolsOld","13317"
"wsn-bastion","poweredOn","Ubuntu Linux (64-bit)","wd-esxi04.vcf.local","WD-HCS-cl01","4","1","4","8","False","False","True","Likely Disabled (추정)","1","2","False","0","False","0","vmx-22","toolsOk","13312"
"wsn-vyos","poweredOff","VyOS","wd-esxi03.vcf.local","WD-HCS-cl01","2","2","1","2","True","False","True","Likely Disabled (추정)","2","1","False","0","False","0","vmx-22","toolsNotInstalled","0"
"yr-depot","poweredOn","Ubuntu Linux (64-bit)","wd-esxi03.vcf.local","WD-HCS-cl01","4","1","4","8","False","False","False","Likely Disabled (추정)","1","1","False","0","True","1","vmx-22","toolsOk","12389"
"HMGDNSNTP","poweredOn","Microsoft Windows Server 2019 (64-bit)","wd-esxi03.vcf.local","WD-HCS-cl01","2","1","2","4","False","False","False","Likely Disabled (추정)","1","1","False","0","True","1","vmx-22","toolsOld","13317"
"harbor","poweredOn","Ubuntu Linux (64-bit)","wd-esxi03.vcf.local","WD-HCS-cl01","4","1","4","8","False","False","False","Likely Disabled (추정)","1","1","False","0","True","1","vmx-22","toolsOk","13322"
"khj_dns","poweredOff","Microsoft Windows Server 2022 (64-bit)","wd-esxi04.vcf.local","WD-HCS-cl01","4","4","1","8","False","False","False","Likely Disabled (추정)","1","1","False","0","True","1","vmx-22","toolsNotRunning","13317"
"dns_tmp","poweredOff","Microsoft Windows Server 2022 (64-bit)","wd-esxi03.vcf.local","WD-HCS-cl01","4","4","1","8","False","False","False","Likely Disabled (추정)","1","1","False","0","True","1","vmx-22","toolsNotRunning","13317"
"hkmg-dns-ntp-128.x","poweredOn","Rocky Linux (64-bit)","wd-esxi04.vcf.local","WD-HCS-cl01","1","1","1","2","False","False","False","Likely Disabled (추정)","1","1","False","0","False","0","vmx-21","toolsOk","12389"
"hkmg-nfs","poweredOn","Rocky Linux (64-bit)","wd-esxi03.vcf.local","WD-HCS-cl01","8","1","8","16","False","False","False","Likely Disabled (추정)","1","2","False","0","False","0","vmx-21","toolsOk","12389"
"hkmg-dns-127.X","poweredOn","Rocky Linux (64-bit)","wd-esxi02.vcf.local","WD-HCS-cl01","2","1","2","8","False","False","False","Likely Disabled (추정)","1","1","False","0","True","1","vmx-22","toolsOk","12389"
"hkmg-vcf-test-vsan-esx01-127.X","poweredOn","VMware ESXi 8","wd-esxi02.vcf.local","WD-HCS-cl01","24","1","24","160","False","False","False","Likely Enabled (추정)","4","2","False","0","False","0","vmx-22","toolsOk","13344"
"hkmg-vcf-test-vsan-esx02-127.X","poweredOn","VMware ESXi 8","wd-esxi03.vcf.local","WD-HCS-cl01","24","1","24","160","False","False","False","Likely Enabled (추정)","4","2","False","0","False","0","vmx-22","toolsOk","13344"
"hkmg-vcf-test-vsan-esx03-127.X","poweredOn","VMware ESXi 8","wd-esxi01.vcf.local","WD-HCS-cl01","24","1","24","160","False","False","False","Likely Enabled (추정)","4","2","False","0","False","0","vmx-22","toolsOk","13344"
"hkmg-vcf-test-vsan-esx04-127.X","poweredOn","VMware ESXi 8","wd-esxi01.vcf.local","WD-HCS-cl01","24","1","24","160","False","False","False","Likely Enabled (추정)","4","2","False","0","False","0","vmx-22","toolsOk","13344"
"nc-esxi01","poweredOn","VMware ESXi 9.0 or later","wd-esxi02.vcf.local","WD-HCS-cl01","64","2","32","256","False","False","False","Likely Enabled (추정)","5","4","False","0","False","0","vmx-22","toolsOk","13344"
"nc-esxi02","poweredOn","VMware ESXi 9.0 or later","wd-esxi04.vcf.local","WD-HCS-cl01","64","2","32","256","False","False","False","Likely Enabled (추정)","5","3","False","0","False","0","vmx-22","toolsOk","13344"
"nc-esxi03","poweredOn","VMware ESXi 9.0 or later","wd-esxi01.vcf.local","WD-HCS-cl01","64","2","32","256","False","False","False","Likely Enabled (추정)","5","3","False","0","False","0","vmx-22","toolsOk","13344"
"nc-esxi04","poweredOn","VMware ESXi 9.0 or later","wd-esxi03.vcf.local","WD-HCS-cl01","64","2","32","256","False","False","False","Likely Enabled (추정)","5","3","False","0","False","0","vmx-22","toolsOk","13344"
"depot","poweredOn","Ubuntu Linux (64-bit)","wd-esxi02.vcf.local","WD-HCS-cl01","2","1","2","4","False","False","False","Likely Disabled (추정)","1","1","False","0","True","1","vmx-22","toolsOk","13322"
